t;ic
2,86e-9;-2,84
5,72e-8;-4,18
1,14e-7;-4,10
1,75e-7;-4,02
2,37e-7;-3,93
3,09e-7;-2,41
4,01e-7;-3,69
5,12e-7;-0,697
5,41e-7;2,18
5,75e-7;15,0
6,09e-7;37,8
6,32e-7;66,2
6,61e-7;105
6,81e-7;144
7,01e-7;187
7,24e-7;238
7,53e-7;309
7,93e-7;414
8,38e-7;555
8,13e-7;484
8,27e-7;527
8,50e-7;568
8,56e-7;571
8,73e-7;556
8,93e-7;525
9,07e-7;500
9,30e-7;463
9,53e-7;449
0,00000100;426
0,00000105;419
0,00000110;410
0,00000119;401
0,00000127;395
0,00000136;391
0,00000144;388
0,00000162;384
0,00000181;377
0,00000193;376
0,00000200;376
