t;ic
4,1494e-9; 368,99
9,0988e-8; 368,99
2,3753e-7; 368,99
4,0035e-7; 368,99
5,7674e-7; 368,99
7,4499e-7; 367,64
8,3453e-7; 364,92
8,4808e-7; 360,85
8,5618e-7; 351,36
8,7240e-7; 335,08
8,8320e-7; 318,80
8,9667e-7; 294,38
9,1824e-7; 257,75
9,2898e-7; 227,91
9,5053e-7; 187,21
9,6665e-7; 146,51
9,8820e-7; 104,46
0,0000010044; 80,039
0,0000010233; 61,047
0,0000010477; 58,333
0,0000011020; 51,550
0,0000011345; 44,767
0,0000012131; 28,488
0,0000012837; 18,992
0,0000013678; 10,853
0,0000014573; 2,7132
0,0000015577; 0,0000
0,0000016554; -2,7132
0,0000017585; -6,7829
0,0000018589; -8,1395
0,0000019484; -6,7829
0,0000019945; -8,1395
