t;vce
8,58e-9;300
8,01e-8;300
1,40e-7;297
1,86e-7;297
2,63e-7;297
3,18e-7;300
3,69e-7;300
4,26e-7;300
4,95e-7;300
5,35e-7;295
5,64e-7;283
5,98e-7;272
6,38e-7;251
6,61e-7;235
6,78e-7;228
7,07e-7;217
7,32e-7;208
7,70e-7;196
8,01e-7;184
8,33e-7;172
8,73e-7;123
8,93e-7;97,8
9,07e-7;73,7
9,27e-7;48,2
9,47e-7;31,2
9,64e-7;17,0
9,87e-7;7,08
0,00000102;0,0264
0,00000104;0,0589
0,00000109;0,120
0,00000117;0,234
0,00000131;-0,987
0,00000136;-0,906
0,00000143;-2,23
0,00000149;-3,57
0,00000174;-4,64
0,00000193;-4,36
0,00000201;-4,26
0,00000163;-4,78
0,00000181;-5,95
0,00000189;-5,84
0,00000198;-4,30
8,50e-7;153
8,61e-7;136
