t;vce
8,1516e-9; 1,3566
3,2575e-8; 1,3566
8,6849e-8; 1,3566
1,9541e-7; 4,0698
3,2296e-7; 6,7829
4,5052e-7; 9,4961
5,3736e-7; 10,853
5,8625e-7; 21,705
6,3520e-7; 48,837
6,7879e-7; 92,248
7,3332e-7; 158,72
7,6333e-7; 199,42
8,1243e-7; 264,53
8,6153e-7; 331,01
8,9692e-7; 358,14
9,4039e-7; 373,06
8,8331e-7; 348,64
9,6751e-7; 368,99
9,8917e-7; 355,43
0,0000010135; 329,65
0,0000010297; 310,66
0,0000010459; 301,16
0,0000010676; 298,45
0,0000011084; 299,81
0,0000011382; 303,88
0,0000011979; 302,52
0,0000013254; 298,45
0,0000014367; 297,09
0,0000015832; 297,09
0,0000017813; 293,02
0,0000018600; 293,02
0,0000019469; 293,02
0,0000019957; 294,38
