f,mag
1,44.6201716050499
1.12332403297803,43.6100709064702
1.26185688306602,42.5999702894645
1.41747416292681,41.5898697753936
1.59228279334109,40.5797693912116
1.78864952905743,39.5696691709309
2.00923300256505,38.5595691574702
2.25701971963392,37.5494694049866
2.53536449397011,36.5393699818191
2.8480358684358,35.5292709742013
3.19926713779738,34.5191724909481
3.59381366380463,33.5090746693682
4.03701725859655,32.4989776827258
4.53487850812858,31.4888817496558
5.09413801481638,30.4787871460446
5.72236765935022,29.4686942200221
6.42807311728432,28.4586034108795
7.22080901838546,27.4485152729415
8.11130830789687,26.4384305056893
9.11162756115489,25.4283499917725
10.2353102189903,24.4182748449765
11.4975699539774,23.4082064707507
12.9154966501488,22.3981466425898
14.5082877849594,21.3880975984207
16.2975083462064,20.3780621622344
18.3073828029537,19.36804389758
20.5651230834865,18.3580473012675
23.1012970008316,17.3480780478209
25.9502421139974,16.3381432979851
29.1505306282518,15.3282520880855
32.7454916287773,14.3184158214516
36.7837977182863,13.3086488886961
41.3201240011534,12.2989694506912
46.4158883361278,11.2894004270097
52.1400828799968,10.2799707438907
58.5702081805667,9.27071691010014
65.7933224657568,8.26168500720464
73.9072203352578,7.25293320382064
83.0217568131974,6.24453493271291
93.260334688322,5.23658290697081
104.761575278967,4.22919419921897
117.6811952435,3.22251666898633
132.194114846603,2.21673710205048
148.496826225447,1.21209152728877
166.810053720006,0.20887830878849
187.381742286039,-0.792525215965898
210.490414451202,-1.79164155260781
236.448941264541,-2.78786601749723
265.608778294669,-3.78043214250326
298.364724028334,-4.76836724261981
335.160265093884,-5.75043509508439
376.493580679247,-6.72506158323095
422.92428743895,-7.69023758513021
475.08101621028,-8.64339108204813
533.669923120631,-9.58121701104197
599.484250318941,-10.4994481011587
673.415065775082,-11.3925416433737
756.463327554629,-12.2532438182547
849.753435908645,-13.0719712438812
954.548456661834,-13.8359123517761
1072.26722201032,-14.5276874885863
1204.50354025878,-15.123296547319
1353.04777457981,-15.5888995033038
1519.91108295293,-15.8757248040797
1707.35264747069,-15.912434780419
1917.91026167249,-15.5974557649303
2154.43469003188,-14.8211336306451
2420.12826479438,-13.742844404531
2718.58824273294,-14.0853615520642
3053.85550883342,-17.8814762035661
3430.46928631492,-22.7952973328091
3853.52859371053,-27.3349085639773
4328.76128108306,-31.3979894360232
4862.60158006535,-35.0903732944831
5462.27721768434,-38.5034606833692
6135.90727341318,-41.6995969736805
6892.61210434969,-44.7205202889126
7742.63682681127,-47.5950341476413
8697.49002617783,-50.344098877154
9770.09957299226,-52.9840134696857
10974.9876549306,-55.528335721193
12328.4673944207,-57.9889737443639
13848.8637139387,-60.3767399791829
15556.7614393047,-62.7015755126683
17475.2840000768,-64.972595851867
19630.4065004027,-67.1980628391412
22051.3073990305,-69.3853474154529
24770.7635599171,-71.5409159511005
27825.5940220713,-73.6703504422257
31257.1584968824,-75.7783996818487
35111.9173421513,-77.8690526064246
39442.0605943766,-79.9456238699065
44306.2145758388,-82.0108430632557
49770.2356433211,-84.0669412924514
55908.1018251222,-86.1157311324781
62802.9144183425,-88.1586778692159
70548.0231071865,-90.1969613140913
79248.2898353917,-92.2315283717402
89021.5085445039,-94.2631370610666
100000,-96.2923929433789
