t,ic
2.86E-9,-0.007553191489361702
5.72E-8,-0.011117021276595744
1.14E-7,-0.010904255319148935
1.75E-7,-0.010691489361702127
2.37E-7,-0.010452127659574468
3.09E-7,-0.006409574468085107
4.01E-7,-0.009813829787234043
5.12E-7,-0.001853723404255319
5.41E-7,0.005797872340425532
5.75E-7,0.0398936170212766
6.09E-7,0.10053191489361701
6.32E-7,0.17606382978723406
6.61E-7,0.27925531914893614
6.81E-7,0.3829787234042553
7.01E-7,0.4973404255319149
7.24E-7,0.6329787234042553
7.53E-7,0.8218085106382979
7.93E-7,1.101063829787234
8.38E-7,1.476063829787234
8.13E-7,1.2872340425531914
8.27E-7,1.4015957446808511
8.5E-7,1.5106382978723405
8.56E-7,1.5186170212765957
8.73E-7,1.4787234042553192
8.93E-7,1.3962765957446808
9.07E-7,1.3297872340425532
9.3E-7,1.2313829787234043
9.53E-7,1.1941489361702127
1.0E-6,1.1329787234042554
1.05E-6,1.1143617021276595
1.1E-6,1.0904255319148937
1.19E-6,1.0664893617021276
1.27E-6,1.050531914893617
1.36E-6,1.0398936170212767
1.44E-6,1.0319148936170213
1.62E-6,1.0212765957446808
1.81E-6,1.002659574468085
1.93E-6,1.0
2.0E-6,1.0
