il,p_cond_igbt,p_cond_diodo,p_on_igbt,p_off_igbt
0,0.0,0.0,0.0,0.0
1,0.3999421454219609,0.11019158555934233,0.26085879302514475,0.5260685085186659
2,0.8094383307611942,0.22167858142261648,0.5217175860502895,1.0521370170373319
3,1.2284885560177001,0.33446098758982246,0.7825763790754342,1.5782055255559981
4,1.6570928211914784,0.44853880406096025,1.043435172100579,2.1042740340746637
5,2.0952511262825286,0.5639120308360299,1.3042939651257237,2.63034254259333
6,2.5429634712908524,0.6805806679150312,1.5651527581508684,3.1564110511119963
7,3.000229856216448,0.7985447152979646,1.8260115511760129,3.6824795596306616
8,3.4670502810593162,0.9178041729848297,2.086870344201158,4.2085480681493275
9,3.9434247458194567,1.0383590409756267,2.3477291372263025,4.734616576667994
10,4.429353250496869,1.1602093192703553,2.6085879302514474,5.26068508518666
11,4.924835795091555,1.283355007869016,2.869446723276592,5.786753593705326
12,5.4298723796035135,1.4077961067716083,3.130305516301737,6.3128221022239925
13,5.944463004032744,1.5335326159781328,3.3911643093268817,6.838890610742658
14,6.468607668379247,1.6605645354885885,3.6520231023520258,7.364959119261323
15,7.002306372643022,1.7888918653029764,3.9128818953771707,7.891027627779989
16,7.54555911682407,1.9185146054212963,4.173740688402316,8.417096136298655
17,8.09836590092239,2.0494327558435477,4.43459948142746,8.943164644817323
18,8.660726724937984,2.181646316569731,4.695458274452605,9.469233153335988
19,9.232641588870848,2.3151552875998456,4.95631706747775,9.995301661854652
20,9.814110492720985,2.449959668933893,5.217175860502895,10.52137017037332
