i,t_caps,t_junt_igbt,t_junt_diodo
0,40,40,40
0.4,41.501,41.917,41.579
0.8,43.006,43.839,43.164
1.2,44.515,45.767,44.754
1.6,46.029,47.7,46.35
2,47.548,49.638,47.952
2.4,49.071,51.582,49.559
2.8,50.598,53.531,51.172
3.2,52.13,55.485,52.791
3.6,53.667,57.444,54.415
4,55.208,59.409,56.045
4.4,56.754,61.379,57.68
4.8,58.304,63.355,59.322
5.2,59.858,65.335,60.968
5.6,61.417,67.321,62.621
6,62.981,69.313,64.279
6.4,64.549,71.309,65.943
6.8,66.121,73.311,67.612
7.2,67.698,75.318,69.287
7.6,69.28,77.331,70.968
8,70.866,79.349,72.654
8.4,72.457,81.372,74.346
8.8,74.052,83.4,76.043
9.2,75.651,85.434,77.747
9.6,77.255,87.473,79.455
10,78.864,89.517,81.17
10.4,80.477,91.567,82.89
10.8,82.095,93.622,84.616
11.2,83.717,95.682,86.347
11.6,85.343,97.748,88.084
12,86.974,99.818,89.827
12.4,88.61,101.894,91.575
12.8,90.25,103.976,93.329
13.2,91.895,106.063,95.089
13.6,93.544,108.155,96.854
14,95.197,110.252,98.625
14.4,96.855,112.355,100.401
14.8,98.518,114.463,102.183
15.2,100.185,116.576,103.971
15.6,101.856,118.695,105.765
16,103.533,120.818,107.564
16.4,105.213,122.948,109.368
16.8,106.898,125.082,111.179
17.2,108.588,127.222,112.995
17.6,110.282,129.367,114.816
18,111.98,131.517,116.644
18.4,113.684,133.673,118.477
18.8,115.391,135.834,120.315
19.2,117.103,138,122.159
19.6,118.82,140.172,124.009
20,120.541,142.349,125.865
