i,t_caps,t_junt_igbt,t_junt_diodo
0,40,40,40
0.4,43.208,43.625,43.287
0.8,46.426,47.26,46.584
1.2,49.653,50.905,49.892
1.6,52.89,54.561,53.211
2,56.137,58.227,56.541
2.4,59.393,61.904,59.881
2.8,62.659,65.591,63.232
3.2,65.934,69.288,66.594
3.6,69.219,72.996,69.967
4,72.514,76.715,73.351
4.4,75.818,80.444,76.745
4.8,79.132,84.183,80.15
5.2,82.455,87.933,83.566
5.6,85.789,91.693,86.992
6,89.131,95.463,90.429
6.4,92.484,99.244,93.878
6.8,95.846,103.035,97.336
7.2,99.217,106.837,100.806
7.6,102.599,110.649,104.286
8,105.99,114.472,107.777
8.4,109.39,118.305,111.279
8.8,112.8,122.149,114.792
9.2,116.22,126.003,118.315
9.6,119.649,129.867,121.849
10,123.088,133.742,125.394
10.4,126.537,137.627,128.95
10.8,129.995,141.522,132.516
11.2,133.463,145.429,136.094
11.6,136.941,149.345,139.682
12,140.428,153.272,143.28
12.4,143.925,157.209,146.89
12.8,147.431,161.157,150.51
13.2,150.947,165.115,154.141
13.6,154.473,169.084,157.783
14,158.008,173.063,161.435
14.4,161.553,177.052,165.099
14.8,165.107,181.052,168.773
15.2,168.671,185.062,172.457
15.6,172.245,189.083,176.153
16,175.828,193.114,179.859
16.4,179.421,197.156,183.577
16.8,183.024,201.208,187.304
17.2,186.636,205.27,191.043
17.6,190.258,209.343,194.792
18,193.889,213.426,198.553
18.4,197.53,217.52,202.323
18.8,201.181,221.624,206.105
19.2,204.841,225.739,209.898
19.6,208.511,229.864,213.701
20,212.191,233.999,217.515
