t,vce
8.58E-9,1.0
8.01E-8,1.0
1.4E-7,0.99
1.86E-7,0.99
2.63E-7,0.99
3.18E-7,1.0
3.69E-7,1.0
4.26E-7,1.0
4.95E-7,1.0
5.35E-7,0.9833333333333333
5.64E-7,0.9433333333333334
5.98E-7,0.9066666666666666
6.38E-7,0.8366666666666667
6.61E-7,0.7833333333333333
6.78E-7,0.76
7.07E-7,0.7233333333333334
7.32E-7,0.6933333333333334
7.7E-7,0.6533333333333333
8.01E-7,0.6133333333333333
8.33E-7,0.5733333333333334
8.73E-7,0.41
8.93E-7,0.326
9.07E-7,0.24566666666666667
9.27E-7,0.16066666666666668
9.47E-7,0.104
9.64E-7,0.056666666666666664
9.87E-7,0.0236
1.02E-6,8.8E-5
1.04E-6,1.9633333333333333E-4
1.09E-6,3.9999999999999996E-4
1.17E-6,7.800000000000001E-4
1.31E-6,-0.00329
1.36E-6,-0.00302
1.43E-6,-0.0074333333333333335
1.49E-6,-0.011899999999999999
1.74E-6,-0.015466666666666665
1.93E-6,-0.014533333333333334
2.01E-6,-0.014199999999999999
1.63E-6,-0.015933333333333334
1.81E-6,-0.019833333333333335
1.89E-6,-0.019466666666666667
1.98E-6,-0.014333333333333333
8.5E-7,0.51
8.61E-7,0.4533333333333333
